
# TODO: Remove useless columns from here
Category,EAN_code,EAN_product_name,rec_grasp_force,weight,object_name
1 COFFEE,8711000519325,Smooth,40,365,coffee_kenco_100gm
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",7613038575650,Nescafe original 3 in 1,07,127,coffee_nescafe_3in1_original_6cups
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",5039303005004,Costa Coffee Smooth Medium Roast,30,155,coffee_instant_costa_coffee_smooth_medium_roast_100gm
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",8711000519141,Kenco Millicano Americano Instant Coffee 100g,30,155,coffee_instant_kenco_millicano_americano_100gm
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",8445290044785,Nescafe Gold Blend Roastery Collection,40,154,coffee_nescafe_gold_blend_roastery_collection_95gm
2 Liquid Handwash,8714789673653,"Palmolive Hygiene Plus Sensitive Liquid Handwash, 300ml",40,344,liquid_handwash_palmolive_hygiene_plus_sensitive_300ml
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",8003520013026,Palmolive Milk And Honey Hand Soap 300 ml,40,344,liquid_handwash_palmolive_milk_and_honey_300ml
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",8003520023322,Palmolive Hand Wash Antibacterial,40,344,liquid_handwash_palmolive_antibacterial_300ml
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",5000101346170,Carex Original Hand Wash 250 ml,40,292,liquid_handwash_carex_original_250ml
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",5000101959509,Carex Moisture Plus Hand Wash 250 ml,40,292,liquid_handwash_carex_moisture_plus_250ml
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",4000388177000,Dove Caring Hand Wash 250ml,40,288,liquid_handwash_dove_moisturising_250ml
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",8720181049361,Dove Care & Protect Hand Wash 250ml,40,288,liquid_handwash_dove_care_and_protect_250ml
3 HOT CHOCOLATE,,,,,
"generate_hdf5_dataset_with_padding(""/home/""+getpass.getuser()+""/grasping_edi/hot_choc_cadbury_250gm_1200/"",""/home/""+getpass.getuser()+""/machine_learning/object_dataset/hot_choc_cadbury_250gm_1200_2048"",NUM_POINTS)",,,,,
"generate_hdf5_dataset_with_padding(""/home/""+getpass.getuser()+""/grasping_edi/hot_choc_instant_cadbury_400gm_1200/"",""/home/""+getpass.getuser()+""/machine_learning/object_dataset/hot_choc_instant_cadbury_400gm_1200_2048"",NUM_POINTS)",5034660021445,Cadbury Fair Trade Bournville Cocoa 250g,30,295,hot_choc_cadbury_bournville_cocoa_ideal_for_baking_250gm
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",,,,,
4 HONEY,,,,,
5 JAM,5060391624495,Best of apricot,40,493,jam_hartleys_apricot_300gm
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",5060391624518,Hartleys seedless strawberry jam,40,493,jam_hartleys_strawberry_300gm
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",5060391625119,Hartley's Pineapple Jam,40,493,jam_hartleys_pineapple_300gm
"generate_hdf5_dataset_with_padding( source_dir + object_name +""/"", save_to_dir + object_name + ""_"" + str(NUM_SAMPLES) + ""_"" + str(NUM_POINTS) + ""_"" + EAN_code, NUM_POINTS )",3045320094084,Bonne Maman raspberry conserve,45,585,jam_bonne_maman_raspberry_conserve_370gm
